ProductKey,ProductAlternateKey,ProductSubcategoryKey,EnglishProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription,StartDate,EndDate,Status,SizeClothes,SizeParts
23,FW-1200,,Flat Washer 6,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
24,FW-1400,,Flat Washer 2,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
25,FW-3400,,Flat Washer 9,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
26,FW-3800,,Flat Washer 4,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
27,FW-5160,,Flat Washer 3,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
28,FW-5800,,Flat Washer 8,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
29,FW-7160,,Flat Washer 5,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
30,FW-9160,,Flat Washer 7,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
31,FC-3654,,Fork Crown,,FALSE,,800,600,,,1,,,,,,,2003/01/07,,Current,,
32,FC-3982,,Front Derailleur Cage,,FALSE,Silver,800,600,,,0,,,,,,,2003/01/07,,Current,,
33,FL-2301,,Front Derailleur Linkage,,FALSE,Silver,800,600,,,0,,,,,,,2003/01/07,,Current,,
34,GP-0982,,Guide Pulley,,FALSE,,800,600,,,0,,,,,,,2003/01/07,,Current,,
35,GT-0820,,LL Grip Tape,,FALSE,,800,600,,,0,,,L ,,,,2003/01/07,,Current,,
36,GT-1209,,ML Grip Tape,,FALSE,,800,600,,,0,,,M ,,,,2003/01/07,,Current,,
37,GT-2908,,HL Grip Tape,,FALSE,,800,600,,,0,,,,,,,2003/01/07,,Current,,
38,HJ-1213,,Thin-Jam Hex Nut 9,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
39,HJ-1220,,Thin-Jam Hex Nut 10,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
40,HJ-1420,,Thin-Jam Hex Nut 1,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
41,HJ-1428,,Thin-Jam Hex Nut 2,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
42,HJ-3410,,Thin-Jam Hex Nut 15,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
43,HJ-3416,,Thin-Jam Hex Nut 16,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
44,HJ-3816,,Thin-Jam Hex Nut 5,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
45,HJ-3824,,Thin-Jam Hex Nut 6,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
46,HJ-5161,,Thin-Jam Hex Nut 3,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
47,HJ-5162,,Thin-Jam Hex Nut 4,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
48,HJ-5811,,Thin-Jam Hex Nut 13,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
49,HJ-5818,,Thin-Jam Hex Nut 14,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
50,HJ-7161,,Thin-Jam Hex Nut 7,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
51,HJ-7162,,Thin-Jam Hex Nut 8,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
52,HJ-9080,,Thin-Jam Hex Nut 12,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
53,HJ-9161,,Thin-Jam Hex Nut 11,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
54,HN-1024,,Hex Nut 5,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
55,HN-1032,,Hex Nut 6,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
56,HN-1213,,Hex Nut 16,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
57,HN-1220,,Hex Nut 17,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
58,HN-1224,,Hex Nut 7,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
59,HN-1420,,Hex Nut 8,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
60,HN-1428,,Hex Nut 9,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
61,HN-3410,,Hex Nut 22,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
62,HN-3416,,Hex Nut 23,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
63,HN-3816,,Hex Nut 12,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
64,HN-3824,,Hex Nut 13,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
65,HN-4402,,Hex Nut 1,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
66,HN-5161,,Hex Nut 10,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
67,HN-5162,,Hex Nut 11,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
68,HN-5400,,Hex Nut 2,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
69,HN-5811,,Hex Nut 20,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
70,HN-5818,,Hex Nut 21,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
71,HN-6320,,Hex Nut 3,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
72,HN-7161,,Hex Nut 14,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
73,HN-7162,,Hex Nut 15,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
74,HN-8320,,Hex Nut 4,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
75,HN-9161,,Hex Nut 18,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
76,HN-9168,,Hex Nut 19,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
77,HT-2981,,Handlebar Tube,,FALSE,,800,600,,,1,,,,,,,2003/01/07,,Current,,
78,HT-8019,,Head Tube,,FALSE,,800,600,,,1,,,,,,,2003/01/07,,Current,,
79,HU-6280,,LL Hub,,FALSE,,500,375,,,1,,,L ,,,,2003/01/07,,Current,,
80,HU-8998,,HL Hub,,FALSE,,500,375,,,1,,,,,,,2003/01/07,,Current,,
81,KW-4091,,Keyed Washer,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
82,LE-1000,,External Lock Washer 3,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
83,LE-1200,,External Lock Washer 4,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
84,LE-1201,,External Lock Washer 9,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
85,LE-1400,,External Lock Washer 5,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
86,LE-3800,,External Lock Washer 7,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
87,LE-5160,,External Lock Washer 6,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
88,LE-6000,,External Lock Washer 1,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
89,LE-7160,,External Lock Washer 8,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
90,LE-8000,,External Lock Washer 2,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
91,LI-1000,,Internal Lock Washer 3,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
92,LI-1200,,Internal Lock Washer 4,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
93,LI-1201,,Internal Lock Washer 9,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
94,LI-1400,,Internal Lock Washer 5,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
95,LI-3800,,Internal Lock Washer 7,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
96,LI-5160,,Internal Lock Washer 6,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
97,LI-5800,,Internal Lock Washer 10,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
98,LI-6000,,Internal Lock Washer 1,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
99,LI-7160,,Internal Lock Washer 8,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
100,LI-8000,,Internal Lock Washer 2,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
101,LJ-1213,,Thin-Jam Lock Nut 9,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
102,LJ-1220,,Thin-Jam Lock Nut 10,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
103,LJ-1420,,Thin-Jam Lock Nut 1,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
104,LJ-1428,,Thin-Jam Lock Nut 2,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
105,LJ-3410,,Thin-Jam Lock Nut 15,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
106,LJ-3416,,Thin-Jam Lock Nut 16,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
107,LJ-3816,,Thin-Jam Lock Nut 5,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
108,LJ-3824,,Thin-Jam Lock Nut 6,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
109,LJ-5161,,Thin-Jam Lock Nut 3,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
110,LJ-5162,,Thin-Jam Lock Nut 4,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
111,LJ-5811,,Thin-Jam Lock Nut 13,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
112,LJ-5818,,Thin-Jam Lock Nut 14,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
113,LJ-7161,,Thin-Jam Lock Nut 7,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
114,LJ-7162,,Thin-Jam Lock Nut 8,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
115,LJ-9080,,Thin-Jam Lock Nut 12,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
116,LJ-9161,,Thin-Jam Lock Nut 11,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
117,LN-1024,,Lock Nut 5,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
118,LN-1032,,Lock Nut 6,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
119,LN-1213,,Lock Nut 16,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
120,LN-1220,,Lock Nut 17,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
121,LN-1224,,Lock Nut 7,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
122,LN-1420,,Lock Nut 8,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
123,LN-1428,,Lock Nut 9,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
124,LN-3410,,Lock Nut 22,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
125,LN-3416,,Lock Nut 23,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
126,LN-3816,,Lock Nut 12,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
127,LN-3824,,Lock Nut 13,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
128,LN-4400,,Lock Nut 1,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
129,LN-5161,,Lock Nut 10,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
130,LN-5162,,Lock Nut 11,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
131,LN-5400,,Lock Nut 2,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
132,LN-5811,,Lock Nut 20,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
133,LN-5818,,Lock Nut 21,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
134,LN-6320,,Lock Nut 3,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
135,LN-7161,,Lock Nut 14,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
136,LN-7162,,Lock Nut 15,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
137,LN-8320,,Lock Nut 4,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
138,LN-9080,,Lock Nut 19,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
139,LN-9161,,Lock Nut 18,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
140,LR-2398,,Lock Ring,,FALSE,Silver,1000,750,,,0,,,,,,,2003/01/07,,Current,,
141,LR-8520,,Lower Head Race,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
142,LW-1000,,Lock Washer 4,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
143,LW-1200,,Lock Washer 5,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
144,LW-1201,,Lock Washer 10,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
145,LW-1400,,Lock Washer 6,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
146,LW-3400,,Lock Washer 13,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
147,LW-3800,,Lock Washer 8,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
148,LW-4000,,Lock Washer 1,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
149,LW-5160,,Lock Washer 7,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
150,LW-5800,,Lock Washer 12,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
151,LW-6000,,Lock Washer 2,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
152,LW-7160,,Lock Washer 9,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
153,LW-8000,,Lock Washer 3,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
154,LW-9160,,Lock Washer 11,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
155,MA-7075,,Metal Angle,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
156,MB-2024,,Metal Bar 1,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
157,MB-6061,,Metal Bar 2,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
158,MP-2066,,Metal Plate 2,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
159,MP-2503,,Metal Plate 1,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
160,MP-4960,,Metal Plate 3,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
161,MS-0253,,Metal Sheet 2,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
162,MS-1256,,Metal Sheet 3,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
163,MS-1981,,Metal Sheet 7,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
164,MS-2259,,Metal Sheet 4,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
165,MS-2341,,Metal Sheet 5,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
166,MS-2348,,Metal Sheet 6,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
167,MS-6061,,Metal Sheet 1,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
168,MT-1000,,Metal Tread Plate,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
169,NI-4127,,LL Nipple,,FALSE,,1000,750,,,0,,,L ,,,,2003/01/07,,Current,,
170,NI-9522,,HL Nipple,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
171,PA-187B,,Paint - Black,,FALSE,,60,45,,,0,,,,,,,2003/01/07,,Current,,
172,PA-361R,,Paint - Red,,FALSE,,60,45,,,0,,,,,,,2003/01/07,,Current,,
173,PA-529S,,Paint - Silver,,FALSE,,60,45,,,0,,,,,,,2003/01/07,,Current,,
174,PA-632U,,Paint - Blue,,FALSE,,60,45,,,0,,,,,,,2003/01/07,,Current,,
175,PA-823Y,,Paint - Yellow,,FALSE,,60,45,,,0,,,,,,,2003/01/07,,Current,,
176,PB-6109,,Pinch Bolt,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
177,RA-2345,,Cup-Shaped Race,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
178,RA-7490,,Cone-Shaped Race,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
179,RF-9198,,Reflector,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
180,RM-M464,,LL Mountain Rim,,FALSE,,800,600,,435,0,,,L ,,,,2003/01/07,,Current,,
181,RM-M692,,ML Mountain Rim,,FALSE,,800,600,,450,0,,,M ,,,,2003/01/07,,Current,,
182,RM-M823,,HL Mountain Rim,,FALSE,,800,600,,400,0,,,,,,,2003/01/07,,Current,,
183,RM-R436,,LL Road Rim,,FALSE,,800,600,,445,0,,,L ,,,,2003/01/07,,Current,,
184,RM-R600,,ML Road Rim,,FALSE,,800,600,,450,0,,,M ,,,,2003/01/07,,Current,,
185,RM-R800,,HL Road Rim,,FALSE,,800,600,,400,0,,,,,,,2003/01/07,,Current,,
186,RM-T801,,Touring Rim,,FALSE,,800,600,,460,0,,,,,,,2003/01/07,,Current,,
187,SA-M198,,LL Mountain Seat Assembly,,FALSE,,500,375,,,1,,,L ,,,,2003/01/07,,Current,,
188,SA-M237,,ML Mountain Seat Assembly,,FALSE,,500,375,,,1,,,M ,,,,2003/01/07,,Current,,
189,SA-M687,,HL Mountain Seat Assembly,,FALSE,,500,375,,,1,,,,,,,2003/01/07,,Current,,
190,SA-R127,,LL Road Seat Assembly,,FALSE,,500,375,,,1,,,L ,,,,2003/01/07,,Current,,
191,SA-R430,,ML Road Seat Assembly,,FALSE,,500,375,,,1,,,M ,,,,2003/01/07,,Current,,
192,SA-R522,,HL Road Seat Assembly,,FALSE,,500,375,,,1,,,,,,,2003/01/07,,Current,,
193,SA-T467,,LL Touring Seat Assembly,,FALSE,,500,375,,,1,,,L ,,,,2003/01/07,,Current,,
194,SA-T612,,ML Touring Seat Assembly,,FALSE,,500,375,,,1,,,M ,,,,2003/01/07,,Current,,
195,SA-T872,,HL Touring Seat Assembly,,FALSE,,500,375,,,1,,,,,,,2003/01/07,,Current,,
196,SD-2342,,LL Spindle/Axle,,FALSE,,500,375,,,0,,,L ,,,,2003/01/07,,Current,,
197,SD-9872,,HL Spindle/Axle,,FALSE,,500,375,,,0,,,,,,,2003/01/07,,Current,,
198,SH-4562,,LL Shell,,FALSE,,800,600,,,0,,,L ,,,,2003/01/07,,Current,,
199,SH-9312,,HL Shell,,FALSE,,800,600,,,0,,,,,,,2003/01/07,,Current,,
200,SK-9283,,Spokes,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
201,SL-0931,,Seat Lug,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
202,SM-9087,,Stem,,FALSE,,500,375,,,1,,,,,,,2003/01/07,,Current,,
203,SP-2981,,Seat Post,,FALSE,,500,375,,,0,,,,,,,2003/01/07,,Current,,
204,SR-2098,,Steerer,,FALSE,,500,375,,,1,,,,,,,2003/01/07,,Current,,
205,SS-2985,,Seat Stays,,FALSE,,800,600,,,1,,,,,,,2003/01/07,,Current,,
206,ST-9828,,Seat Tube,,FALSE,,500,375,,,1,,,,,,,2003/01/07,,Current,,
207,TO-2301,,Top Tube,,FALSE,,500,375,,,1,,,,,,,2003/01/07,,Current,,
208,TP-0923,,Tension Pulley,,FALSE,,800,600,,,0,,,,,,,2003/01/07,,Current,,
209,RC-0291,,Rear Derailleur Cage,,FALSE,Silver,500,375,,,0,,,,,,,2003/01/07,,Current,,
210,FR-R92B-58,14,"HL Road Frame - Black, 58",,TRUE,Black,500,375,,2.24,1,R ,,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2003/01/07,,Current,,58
211,FR-R92R-58,14,"HL Road Frame - Red, 58",,TRUE,Red,500,375,,2.24,1,R ,,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2003/01/07,,Current,,58
212,HL-U509-R,31,"Sport-100 Helmet, Red",12.0278,TRUE,Red,4,3,33.6442,,0,S ,20.1865,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2011/01/07,2007/12/28,,,
213,HL-U509-R,31,"Sport-100 Helmet, Red",13.8782,TRUE,Red,4,3,33.6442,,0,S ,20.1865,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2012/01/07,,,,
214,HL-U509-R,31,"Sport-100 Helmet, Red",13.0863,TRUE,Red,4,3,34.99,,0,S ,20.994,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2013/01/07,,Current,,
215,HL-U509,31,"Sport-100 Helmet, Black",12.0278,TRUE,Black,4,3,33.6442,,0,S ,20.1865,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2011/01/07,,,,
216,HL-U509,31,"Sport-100 Helmet, Black",13.8782,TRUE,Black,4,3,33.6442,,0,S ,20.1865,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2012/01/07,,,,
217,HL-U509,31,"Sport-100 Helmet, Black",13.0863,TRUE,Black,4,3,34.99,,0,S ,20.994,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2013/01/07,,Current,,
218,SO-B909-M,23,"Mountain Bike Socks, M",3.3963,TRUE,White,4,3,9.5,,0,M ,5.7,,U ,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,2011/01/07,,,M,
219,SO-B909-L,23,"Mountain Bike Socks, L",3.3963,TRUE,White,4,3,9.5,,0,M ,5.7,,U ,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,2011/01/07,,,L,
220,HL-U509-B,31,"Sport-100 Helmet, Blue",12.0278,TRUE,Blue,4,3,33.6442,,0,S ,20.1865,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2011/01/07,,,,
221,HL-U509-B,31,"Sport-100 Helmet, Blue",13.8782,TRUE,Blue,4,3,33.6442,,0,S ,20.1865,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2012/01/07,,,,
222,HL-U509-B,31,"Sport-100 Helmet, Blue",13.0863,TRUE,Blue,4,3,34.99,,0,S ,20.994,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2013/01/07,,Current,,
223,CA-1098,19,AWC Logo Cap,5.7052,TRUE,Multi,4,3,8.6442,,0,S ,5.1865,,U ,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,2011/01/07,,,,
224,CA-1098,19,AWC Logo Cap,5.2297,TRUE,Multi,4,3,8.6442,,0,S ,5.1865,,U ,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,2012/01/07,,,,
225,CA-1098,19,AWC Logo Cap,6.9223,TRUE,Multi,4,3,8.99,,0,S ,5.394,,U ,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,2013/01/07,,Current,,
226,LJ-0192-S,21,"Long-Sleeve Logo Jersey, S",31.7244,TRUE,Multi,4,3,48.0673,,0,S ,28.8404,,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2011/01/07,,,S,
227,LJ-0192-S,21,"Long-Sleeve Logo Jersey, S",29.0807,TRUE,Multi,4,3,48.0673,,0,S ,28.8404,,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2012/01/07,,,S,
228,LJ-0192-S,21,"Long-Sleeve Logo Jersey, S",38.4923,TRUE,Multi,4,3,49.99,,0,S ,29.994,,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2013/01/07,,Current,S,
229,LJ-0192-M,21,"Long-Sleeve Logo Jersey, M",31.7244,TRUE,Multi,4,3,48.0673,,0,S ,28.8404,,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2011/01/07,,,M,
